date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:06:24	11955/11955	---M--	200	added ('OK')	image/png	etag:%225b44d97d-2eb3%22	https://us.pycon.org/2018/site_media/media/sponsor_files/jpm_chase_logo_final.gif.260x240_q85_IHQrHXC.png.300x300_q85.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/jpm_chase_logo_final.gif.260x240_q85_IHQrHXC.png.300x300_q85.png	(from https://us.pycon.org/2018/)
00:06:25	14511/14511	---M--	200	added ('OK')	image/png	etag:%225b44d97d-38af%22	https://us.pycon.org/2018/site_media/media/sponsor_files/Anaconda_horizontal_RGB_wRzyutP.png.300x300_q85.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/Anaconda_horizontal_RGB_wRzyutP.png.300x300_q85.png	(from https://us.pycon.org/2018/)
00:06:25	11155/11155	---M--	200	added ('OK')	image/png	etag:%225b44d97d-2b93%22	https://us.pycon.org/2018/site_media/media/sponsor_files/Pycon_HouseCanary_Logo_screen_2.png.300x300_q85.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/Pycon_HouseCanary_Logo_screen_2.png.300x300_q85.png	(from https://us.pycon.org/2018/)
00:06:25	2534/2534	---M--	200	added ('OK')	image/png	etag:%225b44d97d-9e6%22	https://us.pycon.org/2018/site_media/media/sponsor_files/Logo-2C-66px-TM_J0uXAzJ.png.300x300_q85.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/Logo-2C-66px-TM_J0uXAzJ.png.300x300_q85.png	(from https://us.pycon.org/2018/)
00:06:26	7154/7154	---M--	200	added ('OK')	image/png	etag:%225b44d97d-1bf2%22	https://us.pycon.org/2018/site_media/media/sponsor_files/logoBBGblck_Reg.png.300x300_q85.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/logoBBGblck_Reg.png.300x300_q85.png	(from https://us.pycon.org/2018/)
00:06:26	14244/14244	---M--	200	added ('OK')	image/png	etag:%225b44d97d-37a4%22	https://us.pycon.org/2018/site_media/media/sponsor_files/Logo_6.png.300x300_q85.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/Logo_6.png.300x300_q85.png	(from https://us.pycon.org/2018/)
00:06:26	21386/21386	---M--	200	added ('OK')	image/png	etag:%225b44d97d-538a%22	https://us.pycon.org/2018/site_media/media/sponsor_files/Yelp_RGB_outline.png.300x300_q85.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/Yelp_RGB_outline.png.300x300_q85.png	(from https://us.pycon.org/2018/)
00:06:27	12626/12626	---M--	200	added ('OK')	image/png	etag:%225b44d97d-3152%22	https://us.pycon.org/2018/site_media/media/sponsor_files/Okta_Logo_BrightBlue_Large_lWrMlaB.png.300x300_q85.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/Okta_Logo_BrightBlue_Large_lWrMlaB.png.300x300_q85.png	(from https://us.pycon.org/2018/)
00:06:27	15570/15570	---M--	200	added ('OK')	image/png	etag:%225b44d97d-3cd2%22	https://us.pycon.org/2018/site_media/media/sponsor_files/American-Greetings-48.png.300x300_q85.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/American-Greetings-48.png.300x300_q85.png	(from https://us.pycon.org/2018/)
00:06:27	19759/19759	---M--	200	added ('OK')	image/jpeg	etag:%225b44d97d-4d2f%22	https://us.pycon.org/2018/site_media/media/sponsor_files/Logo_JhtVjm1.png.300x300_q85.jpg	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/Logo_JhtVjm1.png.300x300_q85.jpg	(from https://us.pycon.org/2018/)
